,participant_id,device_combo,motion_combo,correct
76,FAB10068F,RightHand,angvel,1.0
77,FAB10068F,RightHand,angvel_angacc,1.0
78,FAB10068F,RightHand,linacc,1.0
79,FAB10068F,RightHand,linacc_angacc,0.5
80,FAB10068F,RightHand,linacc_angvel,1.0
81,FAB10068F,RightHand,linacc_angvel_angacc,1.0
82,FAB10068F,RightHand,linvel,1.0
83,FAB10068F,RightHand,linvel_angacc,1.0
84,FAB10068F,RightHand,linvel_angvel,1.0
85,FAB10068F,RightHand,linvel_angvel_angacc,1.0
86,FAB10068F,RightHand,linvel_linacc,1.0
87,FAB10068F,RightHand,linvel_linacc_angacc,1.0
88,FAB10068F,RightHand,linvel_linacc_angvel,1.0
89,FAB10068F,RightHand,linvel_linacc_angvel_angacc,1.0
90,FAB10068F,RightHand_LeftHand,angacc,1.0
91,FAB10068F,RightHand_LeftHand,angvel,1.0
92,FAB10068F,RightHand_LeftHand,angvel_angacc,1.0
93,FAB10068F,RightHand_LeftHand,linacc,0.5
94,FAB10068F,RightHand_LeftHand,linacc_angacc,1.0
95,FAB10068F,RightHand_LeftHand,linacc_angvel,1.0
96,FAB10068F,RightHand_LeftHand,linacc_angvel_angacc,1.0
97,FAB10068F,RightHand_LeftHand,linvel,1.0
98,FAB10068F,RightHand_LeftHand,linvel_angacc,1.0
99,FAB10068F,RightHand_LeftHand,linvel_angvel,1.0
100,FAB10068F,RightHand_LeftHand,linvel_angvel_angacc,1.0
101,FAB10068F,RightHand_LeftHand,linvel_linacc,1.0
102,FAB10068F,RightHand_LeftHand,linvel_linacc_angacc,1.0
103,FAB10068F,RightHand_LeftHand,linvel_linacc_angvel,1.0
104,FAB10068F,RightHand_LeftHand,linvel_linacc_angvel_angacc,1.0
105,FAB11629F,Head,angacc,1.0
106,FAB11629F,Head,angvel,1.0
107,FAB11629F,Head,angvel_angacc,1.0
108,FAB11629F,Head,linacc,1.0
109,FAB11629F,Head,linacc_angacc,1.0
110,FAB11629F,Head,linacc_angvel,1.0
111,FAB11629F,Head,linacc_angvel_angacc,1.0
112,FAB11629F,Head,linvel,1.0
113,FAB11629F,Head,linvel_angacc,0.5
114,FAB11629F,Head,linvel_angvel,0.5
115,FAB11629F,Head,linvel_angvel_angacc,0.5
116,FAB11629F,Head,linvel_linacc,1.0
117,FAB11629F,Head,linvel_linacc_angacc,1.0
118,FAB11629F,Head,linvel_linacc_angvel,0.5
119,FAB11629F,Head,linvel_linacc_angvel_angacc,1.0
120,FAB11629F,Head_LeftHand,angacc,0.5
121,FAB11629F,Head_LeftHand,angvel,1.0
122,FAB11629F,Head_LeftHand,angvel_angacc,0.5
123,FAB11629F,Head_LeftHand,linacc,1.0
124,FAB11629F,Head_LeftHand,linacc_angacc,0.5
125,FAB11629F,Head_LeftHand,linacc_angvel,1.0
126,FAB11629F,Head_LeftHand,linacc_angvel_angacc,0.5
127,FAB11629F,Head_LeftHand,linvel,0.5
128,FAB11629F,Head_LeftHand,linvel_angacc,0.5
129,FAB11629F,Head_LeftHand,linvel_angvel,0.5
130,FAB11629F,Head_LeftHand,linvel_angvel_angacc,0.5
131,FAB11629F,Head_LeftHand,linvel_linacc,1.0
132,FAB11629F,Head_LeftHand,linvel_linacc_angacc,0.5
133,FAB11629F,Head_LeftHand,linvel_linacc_angvel,0.5
134,FAB11629F,Head_LeftHand,linvel_linacc_angvel_angacc,0.5
135,FAB11629F,Head_RightHand,angacc,1.0
136,FAB11629F,Head_RightHand,angvel,1.0
137,FAB11629F,Head_RightHand,angvel_angacc,1.0
138,FAB11629F,Head_RightHand,linacc,1.0
139,FAB11629F,Head_RightHand,linacc_angacc,1.0
140,FAB11629F,Head_RightHand,linacc_angvel,1.0
141,FAB11629F,Head_RightHand,linacc_angvel_angacc,1.0
142,FAB11629F,Head_RightHand,linvel,0.5
143,FAB11629F,Head_RightHand,linvel_angacc,0.5
144,FAB11629F,Head_RightHand,linvel_angvel,1.0
145,FAB11629F,Head_RightHand,linvel_angvel_angacc,1.0
146,FAB11629F,Head_RightHand,linvel_linacc,1.0
147,FAB11629F,Head_RightHand,linvel_linacc_angacc,1.0
148,FAB11629F,Head_RightHand,linvel_linacc_angvel,1.0
149,FAB11629F,Head_RightHand,linvel_linacc_angvel_angacc,1.0
150,FAB11629F,Head_RightHand_LeftHand,angacc,1.0
