,participant_id,device_combo,motion_combo,correct
390,FAB26282M,LeftHand,angular,1.0
391,FAB26282M,LeftHand,linear,0.5
392,FAB26282M,LeftHand,linear_angular,1.0
393,FAB26282M,RightHand,angular,1.0
394,FAB26282M,RightHand,linear,0.5
395,FAB26282M,RightHand,linear_angular,0.5
396,FAB26282M,RightHand_LeftHand,angular,1.0
397,FAB26282M,RightHand_LeftHand,linear,0.5
398,FAB26282M,RightHand_LeftHand,linear_angular,1.0
399,FAB28076M,Head,angular,0.5
400,FAB28076M,Head,linear,0.5
401,FAB28076M,Head,linear_angular,0.5
402,FAB28076M,Head_LeftHand,angular,1.0
403,FAB28076M,Head_LeftHand,linear,1.0
404,FAB28076M,Head_LeftHand,linear_angular,1.0
405,FAB28076M,Head_RightHand,angular,1.0
406,FAB28076M,Head_RightHand,linear,1.0
407,FAB28076M,Head_RightHand,linear_angular,1.0
408,FAB28076M,Head_RightHand_LeftHand,angular,1.0
409,FAB28076M,Head_RightHand_LeftHand,linear,1.0
410,FAB28076M,Head_RightHand_LeftHand,linear_angular,1.0
411,FAB28076M,LeftHand,angular,0.5
412,FAB28076M,LeftHand,linear,1.0
413,FAB28076M,LeftHand,linear_angular,1.0
414,FAB28076M,RightHand,angular,1.0
415,FAB28076M,RightHand,linear,0.5
416,FAB28076M,RightHand,linear_angular,1.0
417,FAB28076M,RightHand_LeftHand,angular,0.5
418,FAB28076M,RightHand_LeftHand,linear,1.0
419,FAB28076M,RightHand_LeftHand,linear_angular,1.0
420,FAB28505M,Head,angular,1.0
421,FAB28505M,Head,linear,0.5
422,FAB28505M,Head,linear_angular,1.0
423,FAB28505M,Head_LeftHand,angular,0.5
424,FAB28505M,Head_LeftHand,linear,1.0
425,FAB28505M,Head_LeftHand,linear_angular,1.0
426,FAB28505M,Head_RightHand,angular,1.0
427,FAB28505M,Head_RightHand,linear,1.0
428,FAB28505M,Head_RightHand,linear_angular,1.0
429,FAB28505M,Head_RightHand_LeftHand,angular,0.5
430,FAB28505M,Head_RightHand_LeftHand,linear,1.0
431,FAB28505M,Head_RightHand_LeftHand,linear_angular,1.0
432,FAB28505M,LeftHand,angular,0.5
433,FAB28505M,LeftHand,linear,1.0
434,FAB28505M,LeftHand,linear_angular,0.5
435,FAB28505M,RightHand,angular,1.0
436,FAB28505M,RightHand,linear,1.0
437,FAB28505M,RightHand,linear_angular,1.0
438,FAB28505M,RightHand_LeftHand,angular,0.5
439,FAB28505M,RightHand_LeftHand,linear,1.0
440,FAB28505M,RightHand_LeftHand,linear_angular,1.0
441,FAB30237M,Head,angular,1.0
442,FAB30237M,Head,linear,1.0
443,FAB30237M,Head,linear_angular,1.0
444,FAB30237M,Head_LeftHand,angular,1.0
445,FAB30237M,Head_LeftHand,linear,1.0
446,FAB30237M,Head_LeftHand,linear_angular,1.0
447,FAB30237M,Head_RightHand,angular,1.0
448,FAB30237M,Head_RightHand,linear,1.0
449,FAB30237M,Head_RightHand,linear_angular,1.0
450,FAB30237M,Head_RightHand_LeftHand,angular,1.0
451,FAB30237M,Head_RightHand_LeftHand,linear,1.0
452,FAB30237M,Head_RightHand_LeftHand,linear_angular,1.0
453,FAB30237M,LeftHand,angular,1.0
454,FAB30237M,LeftHand,linear,1.0
455,FAB30237M,LeftHand,linear_angular,1.0
456,FAB30237M,RightHand,angular,1.0
457,FAB30237M,RightHand,linear,1.0
458,FAB30237M,RightHand,linear_angular,1.0
459,FAB30237M,RightHand_LeftHand,angular,1.0
460,FAB30237M,RightHand_LeftHand,linear,1.0
461,FAB30237M,RightHand_LeftHand,linear_angular,1.0
462,FAB31369F,Head,angular,1.0
463,FAB31369F,Head,linear,0.5
464,FAB31369F,Head,linear_angular,0.0
465,FAB31369F,Head_LeftHand,angular,0.0
466,FAB31369F,Head_LeftHand,linear,0.0
467,FAB31369F,Head_LeftHand,linear_angular,1.0
468,FAB31369F,Head_RightHand,angular,0.5
469,FAB31369F,Head_RightHand,linear,1.0
470,FAB31369F,Head_RightHand,linear_angular,1.0
471,FAB31369F,Head_RightHand_LeftHand,angular,0.5
472,FAB31369F,Head_RightHand_LeftHand,linear,1.0
473,FAB31369F,Head_RightHand_LeftHand,linear_angular,1.0
