,participant_id,device_combo,motion_combo,correct
99,FAB13229M,LeftHand_RightHand,pos,1.0
100,FAB13229M,LeftHand_RightHand,pos_quat,1.0
101,FAB13229M,LeftHand_RightHand,quat,1.0
102,FAB13229M,RightHand,pos,1.0
103,FAB13229M,RightHand,pos_quat,0.5
104,FAB13229M,RightHand,quat,1.0
105,FAB15389M,Head,pos,0.5
106,FAB15389M,Head,pos_quat,0.5
107,FAB15389M,Head,quat,0.0
108,FAB15389M,Head_LeftHand,pos,0.5
109,FAB15389M,Head_LeftHand,pos_quat,0.5
110,FAB15389M,Head_LeftHand,quat,0.5
111,FAB15389M,Head_LeftHand_RightHand,pos,0.5
112,FAB15389M,Head_LeftHand_RightHand,pos_quat,1.0
113,FAB15389M,Head_LeftHand_RightHand,quat,0.5
114,FAB15389M,Head_RightHand,pos,0.5
115,FAB15389M,Head_RightHand,pos_quat,1.0
116,FAB15389M,Head_RightHand,quat,0.0
117,FAB15389M,LeftHand,pos,1.0
118,FAB15389M,LeftHand,pos_quat,0.5
119,FAB15389M,LeftHand,quat,0.5
120,FAB15389M,LeftHand_RightHand,pos,1.0
121,FAB15389M,LeftHand_RightHand,pos_quat,1.0
122,FAB15389M,LeftHand_RightHand,quat,0.5
123,FAB15389M,RightHand,pos,0.5
124,FAB15389M,RightHand,pos_quat,1.0
125,FAB15389M,RightHand,quat,0.0
126,FAB15605M,Head,pos,0.0
127,FAB15605M,Head,pos_quat,0.0
128,FAB15605M,Head,quat,0.5
129,FAB15605M,Head_LeftHand,pos,0.0
130,FAB15605M,Head_LeftHand,pos_quat,1.0
131,FAB15605M,Head_LeftHand,quat,1.0
132,FAB15605M,Head_LeftHand_RightHand,pos,0.0
133,FAB15605M,Head_LeftHand_RightHand,pos_quat,0.5
134,FAB15605M,Head_LeftHand_RightHand,quat,1.0
135,FAB15605M,Head_RightHand,pos,0.0
136,FAB15605M,Head_RightHand,pos_quat,0.0
137,FAB15605M,Head_RightHand,quat,0.5
138,FAB15605M,LeftHand,pos,0.0
139,FAB15605M,LeftHand,pos_quat,0.5
140,FAB15605M,LeftHand,quat,1.0
141,FAB15605M,LeftHand_RightHand,pos,0.5
142,FAB15605M,LeftHand_RightHand,pos_quat,0.5
143,FAB15605M,LeftHand_RightHand,quat,1.0
144,FAB15605M,RightHand,pos,0.5
145,FAB15605M,RightHand,pos_quat,0.5
146,FAB15605M,RightHand,quat,0.5
147,FAB15800F,Head,pos,0.5
148,FAB15800F,Head,pos_quat,0.5
149,FAB15800F,Head,quat,0.5
150,FAB15800F,Head_LeftHand,pos,0.5
151,FAB15800F,Head_LeftHand,pos_quat,1.0
152,FAB15800F,Head_LeftHand,quat,1.0
153,FAB15800F,Head_LeftHand_RightHand,pos,0.5
154,FAB15800F,Head_LeftHand_RightHand,pos_quat,1.0
155,FAB15800F,Head_LeftHand_RightHand,quat,1.0
156,FAB15800F,Head_RightHand,pos,0.5
157,FAB15800F,Head_RightHand,pos_quat,1.0
158,FAB15800F,Head_RightHand,quat,1.0
159,FAB15800F,LeftHand,pos,1.0
160,FAB15800F,LeftHand,pos_quat,1.0
161,FAB15800F,LeftHand,quat,1.0
162,FAB15800F,LeftHand_RightHand,pos,1.0
163,FAB15800F,LeftHand_RightHand,pos_quat,1.0
164,FAB15800F,LeftHand_RightHand,quat,1.0
165,FAB15800F,RightHand,pos,1.0
166,FAB15800F,RightHand,pos_quat,0.5
167,FAB15800F,RightHand,quat,1.0
168,FAB16401F,Head,pos,0.5
169,FAB16401F,Head,pos_quat,0.5
170,FAB16401F,Head,quat,0.5
171,FAB16401F,Head_LeftHand,pos,0.5
172,FAB16401F,Head_LeftHand,pos_quat,1.0
173,FAB16401F,Head_LeftHand,quat,1.0
174,FAB16401F,Head_LeftHand_RightHand,pos,0.5
175,FAB16401F,Head_LeftHand_RightHand,pos_quat,1.0
