combo,accuracy,mcc
Head_LeftHand_linvel_angvel,0.8898803431156374,0.4217154041862936
Head_LeftHand_angacc,0.8219183892170159,0.42051248631387705
Head_RightHand_angvel_angacc,0.8359895104895104,0.4158858752971951
Head_angvel,0.8987657948459342,0.4110055717057974
Head_linacc_angvel,0.8890933305219019,0.40171053872217993
Head_RightHand_LeftHand_linvel_linacc_angvel,0.9274652848337059,0.383419117682568
Head_LeftHand_linacc_angvel,0.8457433571719285,0.3791242315888072
RightHand_linvel_linacc,0.9056217039272237,0.3787684629641571
RightHand_LeftHand_angvel,0.873858741858742,0.3753811245375155
Head_RightHand_LeftHand_angvel,0.7890930818615454,0.3747730916430322
RightHand_LeftHand_linvel_angvel,0.8637575757575757,0.3731216426464574
Head_LeftHand_linvel_linacc,0.8786128149054978,0.3700615566230873
Head_linvel,0.7821012392779634,0.36682314303279356
Head_LeftHand_linvel,0.8480030395996782,0.36300743997897317
RightHand_linvel,0.8633190545264847,0.3611656613291035
Head_LeftHand_linvel_angacc,0.801268525072752,0.35704758184209523
Head_linvel_linacc_angacc,0.8502838083665152,0.3526618521801429
RightHand_linvel_linacc_angvel,0.8403712813796848,0.35026360268271867
Head_linvel_linacc_angvel,0.8166099249777432,0.34953401857924804
Head_LeftHand_linacc,0.8251319240226802,0.34502511001564007
Head_linvel_linacc,0.8635693447458154,0.3433706986784753
Head_LeftHand_angvel,0.8401248883391741,0.3427431532773649
Head_linvel_angvel,0.8220585268972366,0.33772332121106474
LeftHand_linacc_angvel,0.835857961129608,0.33596964386576794
LeftHand_linvel,0.7348676293924049,0.32938280829660077
Head_linacc_angacc,0.8215983139667351,0.3262046009094667
RightHand_linvel_angvel,0.8427738619210847,0.32252575385179505
Head_linacc,0.8756978810663021,0.31789745564362776
LeftHand_linacc,0.8164128489203033,0.31061733442766604
Head_RightHand_angvel,0.793259112931732,0.3067343283201057
Head_RightHand_LeftHand_linvel_angvel,0.8493943272975532,0.30029605595200176
Head_RightHand_LeftHand_linvel,0.8212447086261129,0.29893255832118454
RightHand_linvel_angvel_angacc,0.8355258275559028,0.2982939822985131
RightHand_linvel_angacc,0.8819365819365819,0.2881995141707253
RightHand_angacc,0.8145661310367192,0.28203018542203473
Head_RightHand_linvel_angvel,0.8687788221331758,0.27687100554062855
LeftHand_linvel_linacc_angvel,0.7921297833062539,0.2721688684216967
RightHand_LeftHand_linvel,0.8318930519618902,0.2692367005577561
LeftHand_linvel_angvel,0.8986248286248285,0.21829903048561178
LeftHand_angvel,0.7804446254311845,0.2133744096120603
RightHand_angvel,0.5489410428540864,0.1987877993313772
Head_angacc,0.7832740043541436,0.16506255881863266
