participant_id,Head_linear,RightHand_LeftHand_linear,RightHand_linear,Head_RightHand_LeftHand_linear,Head_LeftHand_linear,LeftHand_linear,Head_RightHand_linear,Head_RightHand_angular,Head_angular,RightHand_LeftHand_angular,Head_LeftHand_angular,Head_RightHand_LeftHand_angular,RightHand_angular,LeftHand_angular,Head_RightHand_LeftHand_linear_angular,Head_linear_angular,RightHand_linear_angular,Head_LeftHand_linear_angular,LeftHand_linear_angular,RightHand_LeftHand_linear_angular,Head_RightHand_linear_angular
FAB95060F,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAB95225M,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0
FAB95341F,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0
FAB95381F,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAB95446F,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5
FAB95536F,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAB96284M,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
FAB96418F,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
FAB96814M,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
FAB97562M,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
FAB97837F,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAB99585F,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
