,0,1,2,3,4,5,6,7,8,9,10,11,12
23,step0_LeftHand_angacc_y_13_pause_0.5_time_to_min_duration,step1_RightHand_angacc_x_35_pause_1.25_durations_slope,step2_RightHand_linacc_z_7_pause_1.25_durations_std,step3_RightHand_linacc_y_531_pause_1.25_duration_count,step4_RightHand_angacc_z_21_pause_1_durations_mean,step5_LeftHand_angacc_y_201_pause_1_time_to_min_duration,step6_LeftHand_linvel_magnitude_13_pause_1.25_durations_iqr,,step8_RightHand_angvel_y_13_pause_0.5_durations_coeff_of_var,,,step11_Head_linacc_x_21_pause_0.75_durations_kurtosis,substep36_Head_linacc_y_51_pause_1.25_durations_coeff_of_var
24,step0_LeftHand_angacc_z_201_pause_0.5_durations_kurtosis,step1_RightHand_angacc_z_13_pause_0.75_time_to_min_duration,step2_RightHand_linvel_x_201_pause_1_durations_skewness,step3_RightHand_linacc_y_531_pause_1.25_durations_kurtosis,step4_RightHand_angacc_z_21_pause_1_durations_std,step5_LeftHand_angacc_y_531_pause_0.75_durations_mean,step6_LeftHand_linvel_y_201_pause_1.25_durations_coeff_of_var,,step8_RightHand_linvel_magnitude_51_pause_1_durations_kurtosis,,,step11_Head_linacc_x_21_pause_1.25_durations_skewness,substep36_Head_linacc_y_531_pause_0.5_durations_iqr
25,step0_LeftHand_angacc_z_201_pause_0.75_duration_count,step1_RightHand_angacc_z_13_pause_1_time_to_min_duration,,step3_RightHand_linvel_magnitude_13_pause_0.5_time_to_max_duration,step4_RightHand_angacc_z_35_pause_1.25_durations_coeff_of_var,step5_LeftHand_angacc_z_201_pause_1.25_durations_kurtosis,step6_LeftHand_linvel_z_201_pause_1_durations_mean,,step8_RightHand_linvel_x_7_pause_0.5_durations_skewness,,,step11_Head_linacc_x_35_pause_0.5_durations_skewness,substep36_Head_linacc_z_13_pause_1.25_durations_skewness
26,step0_LeftHand_angacc_z_201_pause_1_durations_kurtosis,step1_RightHand_angvel_magnitude_531_pause_0.5_durations_iqr,,,step4_RightHand_angacc_z_51_pause_0.5_duration_frequency,step5_LeftHand_angacc_z_201_pause_1_durations_kurtosis,step6_LeftHand_linvel_z_7_pause_0.5_durations_slope,,step8_RightHand_linvel_y_201_pause_1_durations_skewness,,,step11_Head_linacc_x_35_pause_0.75_durations_coeff_of_var,substep36_Head_linacc_z_13_pause_1_durations_coeff_of_var
27,step0_LeftHand_linacc_x_13_pause_0.75_duration_frequency,step1_RightHand_angvel_x_21_pause_0.75_time_to_min_duration,,,step4_RightHand_angvel_x_13_pause_0.5_duration_frequency,step5_LeftHand_angvel_magnitude_13_pause_0.5_duration_count,step6_RightHand_angacc_magnitude_13_pause_0.5_durations_range,,step8_RightHand_linvel_z_201_pause_1.25_durations_coeff_of_var,,,step11_Head_linacc_x_35_pause_0.75_durations_kurtosis,substep36_Head_linacc_z_21_pause_1_durations_skewness
28,step0_LeftHand_linacc_x_201_pause_1_durations_median,step1_RightHand_angvel_x_21_pause_1_time_to_min_duration,,,step4_RightHand_angvel_x_35_pause_0.75_durations_iqr,step5_LeftHand_angvel_magnitude_201_pause_0.75_durations_var,step6_RightHand_angacc_x_7_pause_1_time_to_min_duration,,step8_RightHand_linvel_z_51_pause_1_durations_coeff_of_var,,,step11_Head_linacc_x_35_pause_1.25_durations_kurtosis,substep36_Head_linacc_z_7_pause_0.5_durations_max
29,step0_LeftHand_linacc_y_201_pause_1.25_durations_kurtosis,step1_RightHand_angvel_z_13_pause_0.75_time_to_min_duration,,,step4_RightHand_angvel_x_7_pause_1_durations_std,step5_LeftHand_angvel_x_531_pause_1.25_time_to_max_duration,step6_RightHand_angacc_y_7_pause_1_time_to_min_duration,,step8_RightHand_linvel_z_531_pause_0.5_durations_coeff_of_var,,,step11_Head_linacc_z_21_pause_0.75_time_to_min_duration,substep36_Head_linacc_z_7_pause_1_durations_skewness
30,step0_LeftHand_linvel_x_13_pause_1.25_durations_iqr,step1_RightHand_angvel_z_13_pause_1_time_to_min_duration,,,step4_RightHand_angvel_z_13_pause_0.5_durations_max,step5_LeftHand_angvel_y_51_pause_1.25_time_to_min_duration,step6_RightHand_angvel_magnitude_201_pause_0.5_time_to_max_duration,,,,,step11_Head_linvel_x_13_pause_1.25_durations_iqr,substep36_Head_linvel_magnitude_21_pause_1.25_durations_kurtosis
31,step0_LeftHand_linvel_y_13_pause_1.25_durations_var,step1_RightHand_linacc_magnitude_51_pause_0.5_time_to_min_duration,,,step4_RightHand_angvel_z_51_pause_0.75_durations_mean,step5_LeftHand_linacc_magnitude_7_pause_0.5_duration_count,step6_RightHand_angvel_magnitude_201_pause_0.75_time_to_max_duration,,,,,step11_Head_linvel_z_201_pause_1.25_durations_iqr,substep36_Head_linvel_magnitude_531_pause_0.5_duration_count
32,step0_LeftHand_linvel_y_21_pause_0.5_durations_iqr,step1_RightHand_linacc_magnitude_531_pause_0.75_time_to_max_duration,,,step4_RightHand_linacc_magnitude_13_pause_1.25_durations_mean,step5_LeftHand_linacc_x_201_pause_1_durations_kurtosis,step6_RightHand_angvel_x_13_pause_1.25_time_to_min_duration,,,,,step11_LeftHand_angacc_magnitude_201_pause_0.5_durations_max,substep36_Head_linvel_magnitude_531_pause_0.5_durations_coeff_of_var
33,step0_LeftHand_linvel_z_13_pause_0.5_durations_median,step1_RightHand_linacc_x_51_pause_1.25_time_to_min_duration,,,step4_RightHand_linacc_magnitude_201_pause_1.25_durations_coeff_of_var,step5_LeftHand_linacc_z_13_pause_0.75_duration_count,step6_RightHand_angvel_x_13_pause_1_time_to_min_duration,,,,,step11_LeftHand_angacc_magnitude_201_pause_0.75_durations_mean,substep36_Head_linvel_magnitude_531_pause_1_durations_coeff_of_var
34,step0_RightHand_angacc_magnitude_7_pause_1.25_durations_skewness,step1_RightHand_linvel_magnitude_13_pause_0.5_durations_median,,,step4_RightHand_linacc_magnitude_21_pause_0.75_duration_frequency,step5_LeftHand_linacc_z_35_pause_0.5_duration_count,step6_RightHand_linvel_x_531_pause_1_durations_slope,,,,,step11_LeftHand_angacc_x_13_pause_1.25_durations_skewness,substep36_Head_linvel_magnitude_7_pause_1.25_duration_count
35,step0_RightHand_angvel_magnitude_201_pause_1.25_durations_median,step1_RightHand_linvel_magnitude_13_pause_0.5_durations_min,,,step4_RightHand_linacc_x_13_pause_1_duration_frequency,step5_LeftHand_linacc_z_7_pause_0.5_duration_count,,,,,,step11_LeftHand_angacc_x_201_pause_0.75_durations_median,substep36_Head_linvel_x_201_pause_0.5_durations_iqr
36,step0_RightHand_angvel_x_7_pause_0.5_time_to_max_duration,step1_RightHand_linvel_magnitude_13_pause_0.75_durations_slope,,,step4_RightHand_linacc_x_21_pause_1.25_durations_std,step5_LeftHand_linacc_z_7_pause_0.5_duration_frequency,,,,,,step11_LeftHand_angacc_x_21_pause_1.25_durations_coeff_of_var,substep36_Head_linvel_x_531_pause_1.25_durations_mean
37,step0_RightHand_angvel_z_531_pause_1_durations_median,step1_RightHand_linvel_magnitude_51_pause_0.75_durations_slope,,,step4_RightHand_linacc_y_35_pause_0.75_durations_coeff_of_var,step5_LeftHand_linacc_z_7_pause_0.75_durations_kurtosis,,,,,,step11_LeftHand_angacc_x_21_pause_1.25_durations_skewness,substep36_Head_linvel_x_531_pause_1_durations_skewness
38,step0_RightHand_linacc_magnitude_51_pause_0.75_durations_kurtosis,,,,,step5_LeftHand_linacc_z_7_pause_1_durations_kurtosis,,,,,,step11_LeftHand_angacc_x_51_pause_1.25_durations_skewness,substep36_Head_linvel_y_201_pause_1.25_durations_iqr
39,step0_RightHand_linacc_magnitude_531_pause_0.5_durations_kurtosis,,,,,step5_LeftHand_linvel_magnitude_21_pause_1.25_durations_median,,,,,,step11_LeftHand_angacc_z_51_pause_1.25_durations_coeff_of_var,substep36_Head_linvel_z_201_pause_1.25_durations_median
40,step0_RightHand_linacc_z_201_pause_1_duration_count,,,,,step5_LeftHand_linvel_magnitude_35_pause_1.25_durations_slope,,,,,,step11_LeftHand_angvel_magnitude_7_pause_1.25_durations_coeff_of_var,substep36_Head_linvel_z_531_pause_1.25_durations_mean
41,step0_RightHand_linacc_z_531_pause_1.25_durations_coeff_of_var,,,,,step5_LeftHand_linvel_magnitude_51_pause_1.25_durations_slope,,,,,,step11_LeftHand_angvel_y_201_pause_0.75_durations_slope,substep36_LeftHand_angacc_magnitude_13_pause_1_durations_coeff_of_var
